idx,pair,side,entry_time,exit_time,entry,exit_price,initial_sl,initial_tp,lot,pnl,pnl_pct,confidence,signal_reason,regime,session,exit_reason,duration_bars,mfe,mae,balance_after
75,XAUUSD,buy,2025-03-18T05:30:00+00:00,2025-03-18T08:15:00+00:00,3013.255,3021.4067,3008.36398,3021.4067,0.18,146.73,1.58,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 62.1",trending_up,london,tp_hit,11,216.79,-52.33,9432.89
76,XAUUSD,buy,2025-03-18T08:30:00+00:00,2025-03-18T09:30:00+00:00,3026.479,3021.08472,3021.08472,3035.46946,0.17,-91.7,-0.972,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 72.3",trending_up,london,sl_hit,4,31.89,-119.34,9341.19
77,XAUUSD,buy,2025-03-18T09:45:00+00:00,2025-03-18T11:30:00+00:00,3019.979,3028.8807,3014.63798,3028.8807,0.17,151.33,1.62,0.6,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 56.7",trending_up,london,tp_hit,7,158.78,-9.76,9492.52
78,XAUUSD,buy,2025-03-18T11:45:00+00:00,2025-03-18T13:00:00+00:00,3026.649,3035.73554,3021.19708,3035.73554,0.17,154.47,1.627,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 63.0",trending_up,london,tp_hit,5,167.04,-1.43,9646.99
79,XAUUSD,buy,2025-03-18T13:15:00+00:00,2025-03-18T13:30:00+00:00,3035.318,3029.52692,3029.52692,3044.9698,0.16,-92.66,-0.96,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 71.5",trending_up,london,sl_hit,1,43.84,-149.49,9554.33
80,XAUUSD,buy,2025-03-18T13:45:00+00:00,2025-03-18T14:00:00+00:00,3033.085,3025.80525,3025.80525,3045.21792,0.13,-94.64,-0.991,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 61.5",trending_up,london,sl_hit,1,0.0,-105.52,9459.7
81,XAUUSD,buy,2025-03-18T14:15:00+00:00,2025-03-19T05:30:00+00:00,3028.948,3041.68584,3021.3053,3041.68584,0.12,152.85,1.616,0.62,Pullback to EMA21 in uptrend · RSI 54.2,trending_up,london,tp_hit,57,165.44,-48.28,9612.55
82,XAUUSD,buy,2025-03-19T05:45:00+00:00,2025-03-19T06:00:00+00:00,3044.305,3040.27067,3040.27067,3051.02889,0.23,-92.79,-0.965,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 72.6",trending_up,london,sl_hit,1,5.75,-175.88,9519.76
83,XAUUSD,buy,2025-03-19T06:15:00+00:00,2025-03-19T08:00:00+00:00,3036.448,3031.49943,3031.49943,3044.69562,0.19,-94.02,-0.988,0.58,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 51.9",trending_up,london,sl_hit,7,141.3,-96.52,9425.74
84,XAUUSD,sell,2025-03-19T10:00:00+00:00,2025-03-19T10:15:00+00:00,3029.148,3034.5207,3034.5207,3020.1935,0.17,-91.34,-0.969,0.7,EMA(21)↓55 cross · RSI 42.5 · regime ranging,ranging,london,sl_hit,1,0.34,-119.0,9334.4
85,XAUUSD,buy,2025-03-19T10:30:00+00:00,2025-03-19T13:30:00+00:00,3037.228,3031.51664,3031.51664,3046.74693,0.16,-91.38,-0.979,0.69,EMA(21)↑55 cross · RSI 56.6 · regime ranging,ranging,london,sl_hit,12,58.72,-157.44,9243.02
86,XAUUSD,sell,2025-03-19T14:30:00+00:00,2025-03-19T16:15:00+00:00,3029.658,3035.86321,3035.86321,3019.31598,0.14,-86.87,-0.94,0.69,EMA(21)↓55 cross · RSI 43.3 · regime ranging,ranging,london,sl_hit,7,44.52,-119.52,9156.15
87,XAUUSD,sell,2025-03-19T17:00:00+00:00,2025-03-19T18:00:00+00:00,3032.435,3038.22647,3038.22647,3022.78256,0.15,-86.87,-0.949,0.53,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 48.8",ranging,london,sl_hit,4,58.45,-106.95,9069.27
88,XAUUSD,buy,2025-03-19T18:15:00+00:00,2025-03-19T18:30:00+00:00,3037.425,3047.84944,3031.17034,3047.84944,0.14,145.94,1.609,0.69,EMA(21)↑55 cross · RSI 56.7 · regime ranging,ranging,london,tp_hit,1,154.84,-0.56,9215.22
89,XAUUSD,buy,2025-03-19T18:45:00+00:00,2025-03-20T08:15:00+00:00,3046.625,3039.47083,3039.47083,3058.54862,0.12,-85.85,-0.932,0.6,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 65.8",ranging,london,sl_hit,50,127.44,-97.8,9129.37
90,XAUUSD,sell,2025-03-20T09:00:00+00:00,2025-03-20T10:00:00+00:00,3042.955,3034.30164,3048.14702,3034.30164,0.17,147.11,1.611,0.7,EMA(21)↓55 cross · RSI 42.3 · regime ranging,ranging,london,tp_hit,4,151.42,-52.87,9276.47
91,XAUUSD,sell,2025-03-20T10:15:00+00:00,2025-03-20T12:00:00+00:00,3029.848,3035.44343,3035.44343,3020.52228,0.16,-89.53,-0.965,0.67,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 24.8",trending_down,london,sl_hit,7,70.72,-101.87,9186.95
92,XAUUSD,sell,2025-03-20T12:15:00+00:00,2025-03-20T16:15:00+00:00,3036.525,3042.46519,3042.46519,3026.62468,0.15,-89.1,-0.97,0.59,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 45.6",trending_down,london,sl_hit,16,100.16,-99.0,9097.84
93,XAUUSD,sell,2025-03-20T17:00:00+00:00,2025-03-20T18:00:00+00:00,3036.975,3043.50019,3043.50019,3026.09968,0.13,-84.83,-0.932,0.62,Pullback to EMA21 in downtrend · RSI 48.4,trending_down,london,sl_hit,4,31.55,-104.26,9013.02
